UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LOCALIDAD;CONSUMO_KW;POTENCIA_CONTRATADA;MONTO_SOLES
90613;HUANCAVELICA;HUAYTARA;SANTIAGO DE CHOCORVOS;LUCMAYO;0;1;6.1
90613;HUANCAVELICA;HUAYTARA;SANTIAGO DE CHOCORVOS;LUCMAYO;0;1;6.1
90613;HUANCAVELICA;HUAYTARA;SANTIAGO DE CHOCORVOS;MIRAFLORES;0;1;18.7
90406;HUANCAVELICA;CASTROVIRREYNA;COCAS;TACMA;17;1;12.8
90406;HUANCAVELICA;CASTROVIRREYNA;COCAS;TACMA;0;1;6.2
90404;HUANCAVELICA;CASTROVIRREYNA;CAPILLAS;PUEBLO NUEVO;1;1;6.5
90404;HUANCAVELICA;CASTROVIRREYNA;CAPILLAS;PACATAY;3;1;7.3
90404;HUANCAVELICA;CASTROVIRREYNA;CAPILLAS;CHACARA;11;1;10.4
90407;HUANCAVELICA;CASTROVIRREYNA;HUACHOS;HUACHOS;2;5;15.1
90407;HUANCAVELICA;CASTROVIRREYNA;HUACHOS;PICHUTACUCHO;7;1;8.9
90403;HUANCAVELICA;CASTROVIRREYNA;AURAHUA;FLOR DE CANCHA;0;1;5.7
90410;HUANCAVELICA;CASTROVIRREYNA;SAN JUAN;PATIPATA;1;1;6.5
90410;HUANCAVELICA;CASTROVIRREYNA;SAN JUAN;PATIPATA;18;1;12.7
90404;HUANCAVELICA;CASTROVIRREYNA;CAPILLAS;MARCAS;98;1;87.2
90404;HUANCAVELICA;CASTROVIRREYNA;CAPILLAS;MARCAS;17;1;17.1
90409;HUANCAVELICA;CASTROVIRREYNA;MOLLEPAMPA;QUINCARA;1;1;6.5
90609;HUANCAVELICA;HUAYTARA;QUITO-ARMA;HUAYANTO;4;1;7.7
90609;HUANCAVELICA;HUAYTARA;QUITO-ARMA;TRIGOPAMPA;6;1;8.5
90609;HUANCAVELICA;HUAYTARA;QUITO-ARMA;QUINCHIHUA;0;1;6.2
90610;HUANCAVELICA;HUAYTARA;SAN ANTONIO DE CUSICANCHA;MINASCCASA;1;1;6.6
90610;HUANCAVELICA;HUAYTARA;SAN ANTONIO DE CUSICANCHA;TASTACANCHA;1;1;6.5
90610;HUANCAVELICA;HUAYTARA;SAN ANTONIO DE CUSICANCHA;SAN JUAN DE RUMICHACA;2;1;6.9
90610;HUANCAVELICA;HUAYTARA;SAN ANTONIO DE CUSICANCHA;TAYAPAHUASIN;1;1;6.5
90610;HUANCAVELICA;HUAYTARA;SAN ANTONIO DE CUSICANCHA;MARAYCANCHA;6;1;8.4
90609;HUANCAVELICA;HUAYTARA;QUITO-ARMA;SANTA ROSA;4;1;7.7
90409;HUANCAVELICA;CASTROVIRREYNA;MOLLEPAMPA;CASACOYA;1;1;6.5
90402;HUANCAVELICA;CASTROVIRREYNA;ARMA;HUAYAO;53;1;45.7
90402;HUANCAVELICA;CASTROVIRREYNA;ARMA;HUAYAO;4;1;7.7
90402;HUANCAVELICA;CASTROVIRREYNA;ARMA;HUINCHULLAY;0;1;6.1
150812;LIMA;HUAURA;VEGUETA;SANTA FE;7;3;8.9
150812;LIMA;HUAURA;VEGUETA;VEGUETA;0;3;6.2
150812;LIMA;HUAURA;VEGUETA;Centro Poblado SANTA FE;0;7;9.7
150812;LIMA;HUAURA;VEGUETA;SAN JOSE;14;3;11.6
150812;LIMA;HUAURA;VEGUETA;RUQUIA;4;3;7.7
150806;LIMA;HUAURA;HUAURA;CAÑAVERALES;10;1;9.7
150806;LIMA;HUAURA;HUAURA;CAÑAVERALES;3;1;7.3
150812;LIMA;HUAURA;VEGUETA;EL ROSARIO;30;1;17.8
150812;LIMA;HUAURA;VEGUETA;EL ROSARIO;19;1;16.8
150812;LIMA;HUAURA;VEGUETA;EL ROSARIO;28;1;17.1
150812;LIMA;HUAURA;VEGUETA;EL PROGRESO;0;1;6.2
150812;LIMA;HUAURA;VEGUETA;SANTA FE;2;1;6.9
150812;LIMA;HUAURA;VEGUETA;SANTA FE;42;1;37.4
150812;LIMA;HUAURA;VEGUETA;Centro Poblado GUADALUPE;123;1;242.3
150812;LIMA;HUAURA;VEGUETA;RUQUIA;0;1;6.2
150811;LIMA;HUAURA;SAYAN;TOPAYA;94;3;174.4
150606;LIMA;HUARAL;IHUARI;IHUARI;31;3;26.8
