UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,LOCALIDAD,CONSUMO_KW,POTENCIA_CONTRATADA,MONTO_SOLES,Latitud,Longitud
150204,LIMA,BARRANCA,SUPE,SUPE,7.0,1.0,8.9,-10.7220,-77.7600
150204,LIMA,BARRANCA,SUPE,SUPE,62.0,1.0,56.5,-10.7220,-77.7600
150204,LIMA,BARRANCA,SUPE,SUPE,74.0,1.0,67.7,-10.7220,-77.7600
150204,LIMA,BARRANCA,SUPE,VIRGEN DEL ROSARIO,160.0,1.0,196.4,-10.7314,-77.7346
150204,LIMA,BARRANCA,SUPE,VIRGEN DEL ROSARIO,26.0,1.0,32.0,-10.7314,-77.7346
150204,LIMA,BARRANCA,SUPE,PAN DE AZUCAR,0.0,1.0,12.4,-10.7420,-77.7303
150204,LIMA,BARRANCA,SUPE,SANTO DOMINGO,34.0,1.0,29.8,-10.6869,-77.7270
150204,LIMA,BARRANCA,SUPE,TAITALAINA,17.0,1.0,15.6,-10.7425,-77.7310
150204,LIMA,BARRANCA,SUPE,PAMPA BONITA,89.0,1.0,82.4,-10.7632,-77.7417
150204,LIMA,BARRANCA,SUPE,LA MERCED ALTA,33.0,1.0,28.7,-10.7420,-77.7512
150204,LIMA,BARRANCA,SUPE,SUPE,58.0,1.0,106.4,-10.7220,-77.7600
150204,LIMA,BARRANCA,SUPE,VIRGEN DEL ROSARIO,26.0,1.0,16.3,-10.7314,-77.7346
150204,LIMA,BARRANCA,SUPE,LA MERCED ALTA,35.0,3.0,62.1,-10.7420,-77.7512
150204,LIMA,BARRANCA,SUPE,VIRGEN DEL ROSARIO,168.0,3.0,205.5,-10.7314,-77.7346
150204,LIMA,BARRANCA,SUPE,SANTO DOMINGO,527.5,2.5,1493.7,-10.6869,-77.7270
150204,LIMA,BARRANCA,SUPE,CIUDAD DEL AGRO,0.0,3.0,35.1,-10.7551,-77.5867
150204,LIMA,BARRANCA,SUPE,SUPE,0.0,3.0,10.6,-10.7220,-77.7600
150204,LIMA,BARRANCA,SUPE,CIUDAD DEL AGRO,72.0,3.0,110.5,-10.7551,-77.5867
150204,LIMA,BARRANCA,SUPE,VIRGEN DE LAS MERCEDES,13.0,3.0,11.2,-10.7187,-77.7069
150204,LIMA,BARRANCA,SUPE,VIRGEN DEL ROSARIO,92.0,3.0,436.3,-10.7314,-77.7346
